GROUP;NAME;KEY
map;ele;
map;geom;
map;is_area;
map;geom_area;
contact;addr:street;
contact;addr:housenumber;
contact;addr:city;
contact;addr:postcode;
contact;addr:province;
contact;addr:locality;
contact;capacity;
contact;opening_hours;
contact;star;
contact;contact:phone;
contact;contact:other_phones;
contact;contact:email;
contact;contact:other_emails;
contact;website;
hidden;computed;
style;color;
style;icon;
style;noInteraction;
style;noDetails;
style;lineDash;
custom;html_description;wm_html_description
media;gallery;
media;audio;
media;related_url;
roadbook;rb_description;
roadbook;rb_useonly;
accessibility;check_mobility;
accessibility;description_mobility;
accessibility;check_hearing;
accessibility;description_hearing;
accessibility;check_vision;
accessibility;description_vision;
accessibility;check_cognitive;
accessibility;description_cognitive;
accessibility;check_food;
accessibility;description_food;
advanced;content_from;
advanced;osmid;
advanced;operator;
