GROUP;NAME;KEY
map;geom;
map;related_poi;
map;from;
map;to;
map;from_poi;
map;to_poi;
map;next_track;
map;prev_track;
scale;cai_scale;
scale;mtb_scale;
scale;scale;
scale;ref;
info;distance;
info;duration:forward;
info;duration:backward;
info;ascent;
info;descent;
info;ele:from;
info;ele:to;
info;ele:max;
info;ele:min;
roadbook;rb_type;
hidden;computed;
hidden;bbox;
hidden;bbox_metric;
hidden;gpx;
hidden;kml;
style;color;
style;icon;
style;noInteraction;
style;noDetails;
style;lineDash;
custom;html_description;wm_html_description
media;gallery;
media;audio;
media;related_url;
roadbook;rb_description;
roadbook;rb_useonly;
accessibility;check_mobility;
accessibility;description_mobility;
accessibility;check_hearing;
accessibility;description_hearing;
accessibility;check_vision;
accessibility;description_vision;
accessibility;check_cognitive;
accessibility;description_cognitive;
accessibility;check_food;
accessibility;description_food;
advanced;content_from;
advanced;osmid;
advanced;operator;
